Desktop	1280x720 50Hz
Date	6/27/2014
BalanceBoard	FALSE
StartTime	6:11 PM
EndTime	6:15 PM
Participant Code	OVR
Session	scene_definition.xml
Gameplay	ObstacleAvoidance


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	start	level_1	(81.0012; 54)	5.524137	0
	Action	backward	180	(81.0012; 54)	16.9614	11.43726
	Action	backward	180	(80.9988; 54)	20.61023	3.648836
	Action	forward	speed_1	(81.0012; 54)	23.13964	2.529404
	Action	forward	speed_2	(79.60352; 54)	24.25215	1.112516
	Event	passed_obs	obs_bike	(75.49156; 54)	26.32176	2.069605
	Action	stop	intersection	(71.48049; 54)	28.34723	2.025471
	Action	turn	straight	(71.29584; 54)	32.54461	4.197382
	Event	gem_collected	5	(71.29584; 54)	32.54461	0
	Action	start lean	left	(59.88857; 54)	38.36069	5.816078
	Action	stop lean	left	(59.62994; 53.9239)	38.4915	0.1308098
	Action	start lean	left	(58.447; 53.84516)	39.08237	0.5908737
	Action	stop lean	left	(57.53796; 53.409)	39.53831	0.4559402
	Action	start lean	right	(55.1414; 53.29917)	40.73669	1.198383
	Action	stop lean	right	(54.96412; 53.34076)	40.82404	0.08734894
	Action	start lean	right	(54.01698; 53.40324)	41.29885	0.4748039
	Event	passed_obs	obs_bike	(53.46528; 53.63264)	41.55209	0.2532387
	Action	stop lean	right	(53.37551; 53.68397)	41.61863	0.06654358
	Action	start lean	right	(51.61737; 53.78745)	42.49551	0.8768768
	Action	stop lean	right	(51.41067; 53.84308)	42.59995	0.1044388
	Action	stop	intersection	(44.45892; 53.9124)	46.07554	3.475597
	Action	turn	straight	(44.28412; 53.9124)	55.54824	9.472694
	Event	gem_collected	1	(44.28412; 53.9124)	55.54824	0
	Action	start lean	left	(36.46568; 53.9124)	59.56298	4.014748
	Action	stop lean	left	(35.50347; 53.43244)	60.04707	0.4840851
	Action	start lean	left	(33.57066; 53.3289)	61.01087	0.9638023
	Action	stop lean	left	(33.25837; 53.22311)	61.16975	0.1588745
	Event	hit_obs	obs_bike	(30.36934; 53.13976)	62.593	1.423256
	Action	start lean	right	(27.19943; 53.13976)	64.19629	1.603287
	Action	stop lean	right	(26.38159; 53.53546)	64.60559	0.4093018
	Action	start lean	right	(25.97165; 53.62185)	64.81088	0.2052917
	Action	stop lean	right	(25.82521; 53.66154)	64.88462	0.0737381
	Action	start lean	right	(23.81032; 53.72231)	65.89101	1.006386
	Action	stop lean	right	(23.502; 53.82716)	66.04566	0.1546555
	Action	stop	intersection	(19.48319; 53.90545)	68.0547	2.009041
	Action	turn	right	(19.32689; 53.90545)	68.54728	0.4925766
	Event	gem_collected	2	(19.32689; 53.90545)	68.54728	0
	Action	start lean	right	(19.32679; 53.90545)	68.5664	0.01911926
	Action	stop lean	right	(19.22618; 53.97804)	68.67513	0.1087341
	Event	start	level_2	(93.0012; 33.0012)	79.47023	10.7951
	Action	forward	speed_2	(93.0012; 33.0012)	88.91158	9.441353
	Action	start lean	right	(91.88181; 33.0012)	89.59325	0.6816635
	Action	stop lean	right	(91.21804; 33.28537)	89.92493	0.3316879
	Action	start lean	left	(90.22594; 33.39827)	90.42162	0.4966888
	Action	stop lean	left	(89.98517; 33.33452)	90.54348	0.1218567
	Action	backward	speed_1	(89.26316; 33.25681)	90.90295	0.3594666
	Action	backward	stop	(88.15935; 33.25347)	91.63802	0.7350693
	Action	forward	speed_1	(87.98302; 33.25346)	93.34937	1.711357
	Event	passed_obs	obs_ball	(87.48321; 33.25346)	93.81095	0.4615784
	Action	backward	stop	(86.88123; 33.25346)	94.26574	0.4547882
	Action	forward	speed_1	(86.71071; 33.25346)	95.58665	1.320908
	Action	forward	speed_2	(86.18514; 33.25346)	96.08309	0.4964447
	Action	backward	speed_1	(84.79684; 33.25346)	96.81521	0.7321167
	Action	stop	intersection	(83.47064; 33.25346)	97.71129	0.89608
	Action	turn	straight	(83.32851; 33.25346)	98.35023	0.6389465
	Event	gem_collected	5	(83.32851; 33.25346)	98.35023	0
	Action	backward	stop	(70.73477; 33.25346)	107.467	9.116783
	Action	forward	speed_1	(70.56719; 33.25346)	112.8519	5.384888
	Action	backward	stop	(69.13432; 33.25346)	113.9948	1.142868
	Action	forward	speed_1	(68.96283; 33.25346)	114.6224	0.6275787
	Action	start lean	right	(66.68772; 33.25346)	116.3689	1.746567
	Action	stop lean	right	(66.49608; 33.30967)	116.5037	0.1347809
	Event	passed_obs	obs_pole	(65.99773; 33.36493)	116.8387	0.3349686
	Action	start lean	right	(65.43066; 33.36686)	117.266	0.4273148
	Action	stop lean	right	(64.21194; 34.01784)	118.138	0.8720169
	Action	backward	stop	(62.95401; 34.09808)	119.0342	0.8962326
	Event	hit_obs	obs_bike	(62.89872; 34.09809)	119.0563	0.02206421
	Action	forward	speed_1	(62.78911; 34.0981)	125.6865	6.630211
	Action	backward	stop	(55.24722; 34.0981)	131.1924	5.505844
	Event	hit_ped	PedestrianCollider	(55.10353; 34.0981)	142.5867	11.39432
	Event	start	level_3	(69.9988; 75.5012)	153.3914	10.8047


Summary
Bonus Taken	Level Time	Obstacle Passed	Obstacle Hit	Pedestrian Hit	Level
3	60	2	1	0	1
1	60	2	1	1	2
0	10	0	0	0	3


Map Info
Intersections	(0,0)(26,0)(43,0)(70,0)(95,0)(0,18)(26,18)(43,18)(70,18)(95,18)(0,54)(26,54)(43,54)(70,54)(95,54)(0,79)(26,79)(43,79)(70,79)(95,79)
